Feature,Importance
GyroZ_mean,0.16698663483566065
GyroZ_std,0.09512429559103877
AccY_mean,0.07310323688777755
GyroZ_max,0.06902432023842482
GyroZ_min,0.06601070783766166
AccX_max,0.06600395637871578
AccY_max,0.06254901580436999
AccX_mean,0.0568261274245764
AccY_std,0.051958854984465466
AccX_std,0.044482324569247396
AccY_min,0.041546663199936364
AccX_min,0.02787662098906558
GyroY_mean,0.026569824010831966
GyroX_mean,0.019711237167986114
AccZ_mean,0.01801240278091624
GyroX_std,0.017096095652632332
GyroX_min,0.017010263834513616
AccZ_std,0.015444132158743303
GyroY_min,0.015142836533503005
GyroY_std,0.01396751830417948
GyroX_max,0.010377627227065898
AccZ_max,0.00932354110807074
AccZ_min,0.008225656567196434
GyroY_max,0.0076261059134204055
